Title,Price,Beds,SQFT,Date Listed,Link
!!**^*~!Adorable 3 Bedrooms 2 Bathroom!!Ch@rming Home Is Located*&*,$680,3br,1300ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-adorable-3-bedrooms-2/7143413383.html
"Emergency maintenance, Dog park, High speed internet access",$999,2br,1120ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-emergency-maintenance-dog-park/7139762962.html
"Stainless Steel Appliances, Laundry Facilities, White Cabinets",$1458,2br,1343ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-stainless-steel-appliances/7143497337.html
"Pet Friendly, Organized Resident Activities, Resort Style Pool",$1174,1br,750ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-pet-friendly-organized-resident/7141102379.html
NATURE IN THE CITY - 3/1 Duplex w/FP - Wooded Oasis on Babbling Creek,$1695,3br,1600ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/decatur-nature-in-the-city-duplex-fp/7141221012.html
"Stainless Steel Appliances, Views, Granite Countertops",$1218,1br,875ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-stainless-steel-appliances/7143496173.html
Last luxury 2BD w/ City View! SPECIAL ENDS TODAY at 6PM!,$1749,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-last-luxury-2bd-city-view/7143495466.html
"Assigned Covered Parking, White Cabinets, Courtesy Patrol",$1221,1br,758ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-assigned-covered-parking-white/7143495429.html
"Carpet, Complimentary Wi-Fi at Pool and Clubhouse, TV Lounge Area",$1221,1br,758ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-carpet-complimentary-wi-fi-at/7134717408.html
Go From Renter To Homeowner Real Quick Only 600 Required,$1800,5br,3800ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/snellville-go-from-renter-to-homeowner/7137088349.html
$399 first month move in special KRC Alderwood Trails,$1275,2br,1125ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-399-first-month-move-in-special/7143493992.html
"3 Bed - 2 Bath, Wood-Grain Finish Flooring, Car Wash Station",$1980,3br,1367ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bed-2-bath-wood-grain-finish/7131925565.html
Our honorable veterans deserve to be homeowners. Only 600 score needed,$1600,4br,3200ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/grayson-our-honorable-veterans-deserve/7137108222.html
Buckhead Luxury Apartment (July 1/2 off),$1320,1br,678ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-buckhead-luxury-apartment-july/7141802169.html
Becoming Homeowners Is A Movement Only 600 Required,$1800,5br,3750ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/morrow-becoming-homeowners-is-movement/7137135556.html
"Picnic Area with Grill, Dog Park, Swimming Pool",$1332,2br,1250ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-picnic-area-with-grill-dog-park/7138571615.html
Helping Veterans Become Homeowners Is What I Do,$1850,5br,3400ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/lawrenceville-helping-veterans-become/7137199900.html
"Large Closets, Pool, Wheelchair Accessible",$2099,2br,1425ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-large-closets-pool-wheelchair/7143492379.html
$1399!! 🏙️ COOL LOFT 😎 HOT LOCATION 🔥🔥,$1369,1br,650ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-cool-loft-hot-location/7138531140.html
"Sparkling swimming pool, Wood-style floors, Refrigerator",$1290,2br,1175ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-sparkling-swimming-pool-wood/7141015479.html
$250 OFF RENT  $$$$ $aving$ $$$$,$1099,2br,893ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/peachtree-corners-250-off-rent-aving/7143491449.html
$1095/ 1br - 820 sqft - $1095 / 1br - 820 sqft - ***GREAT DEAL***,$1095,1br,820ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-br-sqft-br-sqft-great-deal/7143491422.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135795400.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135765171.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135765135.html
$250 OFF RENT  $$$$ $aving$ $$$$,$1199,2br,1193ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/peachtree-corners-250-off-rent-aving/7143490133.html
FINE LIVING WITH THE POLO CLUB,$981,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-fine-living-with-the-polo-club/7135765218.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135792305.html
WELCOME HOME AT THE POLO CLUB!!,$896,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135766959.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135765142.html
June Move In Specials!! Call today!!,$1225,1br,785ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-june-move-in-specials-call-today/7137914688.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135792417.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135795373.html
WELCOME HOME AT THE POLO CLUB!!,$1091,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/pine-lake-welcome-home-at-the-polo-club/7135792382.html
"Cable/Satellite, Package Receiving, Rec Room",$1114,2br,1200ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/duluth-cable-satellite-package/7142164783.html
we can get you moved in 3-5 days-even with credit challenges,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-we-can-get-you-moved-in-3-5/7130663457.html
Hoping for the perfection? Check out this house,$624,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-hoping-for-the-perfection-check/7143425892.html
Homey Studio in the Eclectic Neighborhood of  L5P,$1493,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-homey-studio-in-the-eclectic/7138522780.html
"1 bedroom water, trash and pest control included.",$1014,1br,800ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bedroom-water-trash-and-pest/7143479260.html
> eviction evictions no problem get approved get  (trade) lines  <<,$75,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-eviction-evictions-no-problem/7142058600.html
Just installed three Bedroom with Car parking,$613,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-just-installed-three-bedroom/7143425874.html
"Disability Access, Tennis Court(s), Microwave",$1500,1br,925ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-disability-access-tennis-courts/7143488376.html
"On-site Maintenance, Accepts Electronic Payments, Window Coverings",$1516,1br,935ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-on-site-maintenance-accepts/7143488213.html
"Range, Controlled Access Community, Rooftop Lounge",$1500,1br,1006ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-range-controlled-access/7143488201.html
"Disability Access, Accepts Credit Card Payments, Social Activities",$1337,1br,765ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-disability-access-accepts/7143488147.html
"Online Payments Available, Heat, Refrigerator",$1535,1br,850ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-online-payments-available-heat/7143488124.html
"688-B Holmes Street NW, Atlanta",$725,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-688-holmes-street-nw-atlanta/7136774461.html
"Clubhouse and Business Center, Private Patio or Balcony, Picnic Area",$850,1br,682ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-clubhouse-and-business-center/7134551950.html
Updated 2-3 bedrm to move in IMMEDIATELY,$632,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-updated-2-3-bedrm-to-move-in/7143425866.html
2BR/1BA Price drop!! Peachtree Ave! Call Janna!!!,$1250,2br,1000ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-2br-1ba-price-drop-peachtree/7143487467.html
!!**^*~!Adorable 3 Bedrooms 2 Bathroom!!Ch@rming Home Is Located*&*,$680,3br,1300ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-adorable-3-bedrooms-2/7143413513.html
"Water Sewer And Trash, Disability Access, Private Balcony",$1111,1br,677ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-water-sewer-and-trash/7139853424.html
Bellingham now open for self guided tours!,$1160,1br,716ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/marietta-bellingham-now-open-for-self/7143485775.html
Cut Down on Those Move-In Costs by making this home yours today ..,$700,3br,2213ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/buford-cut-down-on-those-move-in-costs/7143465696.html
Save $2400! Luxury 2 Bedroom! 3 Miles to Buckhead Village! Ends 6PM!,$1749,2br,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-save-2400-luxury-2-bedroom-3/7143485444.html
Big News! Northern Pines One Bedroom AVAILABLE NOW! Apply today!,$775,1br,950ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-big-news-northern-pines-one/7143485282.html
"Cable TV outlets, Dedicated yoga studio, Wood-look flooring, Clubroom",$1885,2br,1052ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-cable-tv-outlets-dedicated-yoga/7143459958.html
Available Now,$800,3br,1560ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/douglasville-available-now/7143456978.html
$1152/ 2br - 1070sq - ***GREAT DEAL***on Large 2bd/2ba @Rockledge Lu,$1152,2br,1070ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/marietta-br-sq-great-dealon-large-2bd/7143484207.html
"Private Patio, Fitness Center, Outdoor Grill Gazebo",$1109,1br,920ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/duluth-private-patio-fitness-center/7131462778.html
"Short Term Lease, Basketball Court(s), Tile Floors",$1335,2br,1200ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-short-term-lease-basketball/7128773870.html
"Serene neighbourhood, 1bed 1bath",$750,1br,720ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-serene-neighbourhood-1bed-1bath/7141198860.html
bad credit eviction we can help,$75,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-bad-credit-eviction-we-can-help/7131664349.html
"Sand Volleyball Court, Game Room with Billards Table, GOFetch Dog Park",$1207,1br,903ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/duluth-sand-volleyball-court-game-room/7139849116.html
1 bed 1 bath fully renovated ! move by June 27 get June free,$1268,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bed-1-bath-fully-renovated/7143472299.html
"BBQ Area, Range, Additional Storage",$1175,1br,834ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-bbq-area-range-additional/7136868391.html
"Serene neighbourhood, 1bed 1bath",$750,1br,720ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-serene-neighbourhood-1bed-1bath/7143408968.html
"Controlled Access, On-site Management, Refrigerator",$1500,1br,1006ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-controlled-access-on-site/7143474714.html
1X1 APARTMENT FLAT AVAILABLE JULY 15TH!!!,$825,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-1x1-apartment-flat-available/7138701392.html
"On-site Management, Package Lockers, Public Transportation",$1135,1br,635ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-on-site-management-package/7136911919.html
"Washer/Dryer Hookup, Disposal, Package Receiving",$1225,2br,1094ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-washer-dryer-hookup-disposal/7143473504.html
"Valet Trash Service, State-of-the-Art Fitness Center, Air Conditioner",$1199,2br,1087ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-valet-trash-service-state-of-the/7143473462.html
"Large Closets, Short Term Lease, Balcony",$875,1br,715ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-large-closets-short-term-lease/7143473437.html
"Fitness Center, Car Wash, Pool",$1275,2br,1152ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-fitness-center-car-wash-pool/7140677706.html
TWO BEDROOM IN SMYRNA ! GREAT PRICE,$1387,2br,1180ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-two-bedroom-in-smyrna-great-price/7143445687.html
Beautiful 3 Bedroom Never Lived In!!,$4295,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-beautiful-3-bedroom-never-lived/7143461741.html
BEST PRICE APPROVALS CPN HOME CAR LAON STUBS BOOST OR FIX YOUR CREDIT,$55,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-best-price-approvals-cpn-home/7140597616.html
BEST PRICE APPROVALS CPN HOME CAR LAON STUBS BOOST OR FIX YOUR CREDIT,$55,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-best-price-approvals-cpn-home/7140597772.html
BEST PRICE APPROVALS CPN HOME CAR LAON STUBS BOOST OR FIX YOUR CREDIT,$55,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-best-price-approvals-cpn-home/7140597840.html
BEST PRICE APPROVALS CPN HOME CAR LAON STUBS BOOST OR FIX YOUR CREDIT,$55,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-best-price-approvals-cpn-home/7140597833.html
BEST PRICE APPROVALS CPN HOME CAR LAON STUBS BOOST OR FIX YOUR CREDIT,$55,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-best-price-approvals-cpn-home/7140597847.html
TOUCH OF MANHATTAN IN MIDTOWN 🏙❤️🚴🏽‍♂️,$1269,1br,750ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-touch-of-manhattan-in-midtown/7135048251.html
"24/7 Fitness center, Ceramic tile flooring in baths, Kitchen islands",$1559,1br,683ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-fitness-center-ceramic/7142208263.html
One Bedroom W/D Connect! Available for AUG! Chelsea Court Apts!,$785,1br,700ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-one-bedroom-d-connect/7143466572.html
Available Right Now! HUGE 1 bed 1 bath! Northern Pines Apts! Only $831,$775,1br,950ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-available-right-now-huge-1/7143466504.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7129215640.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7129215654.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7129215639.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7129215678.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7139285740.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/24-7-get-approved-new-home-cars-and/7139285996.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7139285007.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7139285893.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7129215625.html
24/7 GET APPROVED NEW HOME CARS AND MUCH MORE WITH NEW CPN,$199,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-24-7-get-approved-new-home-cars/7139286071.html
This Home was Made for You! CALL TODAY!,$869,3br,1201ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-this-home-was-made-for-you-call/7143459919.html
"Garbage Disposal, Gated Community, Courtyards",$985,2br,1222ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-garbage-disposal-gated/7143439851.html
Pssst... Just what you been waiting for,$990,2br,976ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/tucker-pssst-just-what-you-been-waiting/7143465260.html
"Private Balcony or Patio, High-Speed Internet, Fireplace",$1093,2br,1146ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/alpharetta-private-balcony-or-patio/7143464858.html
"Visit Your New Home, Gated Access Community, Picnic and Grilling Areas",$1020,1br,643ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/union-city-visit-your-new-home-gated/7143464847.html
"Outdoor Kitchen, Controlled Access, 24-Hour Java Bar and Lounge",$1285,1br,794ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-outdoor-kitchen-controlled/7136298358.html
/ 2br - 893ft2 - Comfortable 2BR/1BA Apartment with Plush Carpeting,$500,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-2br-893ft2-comfortable-2br-1ba/7143464254.html
1 Bed 1 Bath Fully Renovated.MOVE BY JUNE 27th GET JUNE FREE,$1238,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-bed-1-bath-fully/7143455951.html
bad credit - you do have options,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-bad-credit-you-do-have-options/7133921411.html
Need To Move Asap ?! Credit An Issue ?,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-need-to-move-asap-credit-an/7131242814.html
"Well Maintained grounds, COMING SOON: New Clubhouse, Vaulted Ceilings",$1167,1br,750ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-well-maintained-grounds-coming/7142197125.html
We Can Get You Moved In 3-5 Days-even With Credit Challenges,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-we-can-get-you-moved-in-3-5/7131251578.html
!!**^*~!Adorable 3 Bedrooms 2 Bathroom!!Ch@rming Home Is Located*&*,$680,3br,1300ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-adorable-3-bedrooms-2/7143413630.html
"Sky Lounge with Breathtaking Views, Pet Friendly, Bocce Ball Court",$1785,2br,1074ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-sky-lounge-with-breathtaking/7128611228.html
"Well Maintained grounds, COMING SOON: New Clubhouse, Vaulted Ceilings",$1167,1br,750ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-well-maintained-grounds-coming/7142197125.html
We Can Get You Moved In 3-5 Days-even With Credit Challenges,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-we-can-get-you-moved-in-3-5/7131251578.html
!!**^*~!Adorable 3 Bedrooms 2 Bathroom!!Ch@rming Home Is Located*&*,$680,3br,1300ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-adorable-3-bedrooms-2/7143413630.html
"Sky Lounge with Breathtaking Views, Pet Friendly, Bocce Ball Court",$1785,2br,1074ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-sky-lounge-with-breathtaking/7128611228.html
"Playground, Refreshing Swimming Pool, Dual entries",$1225,2br,1083ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-playground-refreshing-swimming/7139130863.html
$399 first month move in special! KRC Alderwood Trails,$1275,2br,1125ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-399-first-month-move-in-special/7143458167.html
We've Found Your Next Home and It's Amazing at Woodland Ridge Apartmen,$1055,1br,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/norcross-weve-found-your-next-home-and/7143457568.html
"Vaulted Ceiling, Garage, Night Patrol",$1175,1br,840ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-vaulted-ceiling-garage-night/7139763116.html
Impressive Designer Floorplans in G-O-R-G-E-O-U-S Buckhead!,$2667,3br,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-impressive-designer-floorplans/7126829626.html
Move in Special★$1000 Down★1st MONTH FREE★,$869,3br,1201ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-move-in-special1000-down1st/7139400284.html
"Disposal, Bbq/picnic area, On-site management",$1595,2br,1142ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-disposal-bbq-picnic-area-on/7139828065.html
Luxury living on a Budget! Ready for Move-In! Call Today,$869,3br,1201ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-luxury-living-on-budget-ready/7140566919.html
2 Bedroom Easy Access To Town Brookhaven,$1770,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-2-bedroom-easy-access-to-town/7143456053.html
"Additional Storage, Private Patio, Tile Floors",$1156,1br,690ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-additional-storage-private/7142193822.html
"Nine-Foot Ceilings, Built-In Computer Nook , Covered Parking Spots",$1334,2br,1022ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-nine-foot-ceilings-built-in/7135622992.html
MUST SEE! Brand-new 3-bedroom home - $879,$879,3br,1204ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/red-oak-must-see-brand-new-3-bedroom/7143455648.html
"Full-size Washer & Dryer, Lighted Play Court, Bookshelves, Playground",$1389,2br,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/roswell-full-size-washer-dryer-lighted/7143454959.html
Move in and experience quality service at Northlake Apartments,$945,1br,1032ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/tucker-move-in-and-experience-quality/7143454069.html
"Fireplace, Garden Tub, Beautifully Landscaped Grounds with Lake",$1371,3br,1390ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/stockbridge-fireplace-garden-tub/7139245108.html
"Lake and Jogging Trails, Playground, Pet Friendly",$1325,2br,1100ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-lake-and-jogging-trails/7143398935.html
"Resort style swimming pool, 24-hour cyber cafe, Designer lighting",$1120,2br,880ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/douglasville-resort-style-swimming-pool/7139784028.html
Large Two Bedroom Apartment In Brookhaven,$1760,N/A,Not Available,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-large-two-bedroom-apartment-in/7143453957.html
Oversized Two Bedroom in Buckhead High Rise,$2106,2br,1175ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-oversized-two-bedroom-in/7143453753.html
Bella Apartments - Special Prices,$995,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/norcross-bella-apartments-special-prices/7143453595.html
Waverly Manor come and see our renovated townhomes and studios!!!!,$1200,2br,1600ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/norcross-waverly-manor-come-and-see-our/7143453312.html
Oversized Two Bedroom in Buckhead High Rise,$2106,2br,1175ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-oversized-two-bedroom-in/7143452686.html
"Washer and Dryer Included, On-site Clothes Care Facility, Puppy Park",$1093,2br,1050ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-washer-and-dryer-included-on/7128094508.html
One bedroom High rise 5 weeks free,$1710,1br,618ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-one-bedroom-high-rise-5-weeks/7143452328.html
